Well_ID,Date,Oil_Rate,Water_Cut,Pressure,Temperature,Pump_Status
WELL-01,2024-01-01,282.51,17.28,1240.02,104.19,0
WELL-01,2024-01-02,226.08,28.21,2627.49,61.79,0
WELL-01,2024-01-03,207.96,15.94,2008.57,98.99,0
WELL-01,2024-01-04,376.78,49.52,1552.7,60.39,0
WELL-01,2024-01-05,302.08,13.55,2317.02,117.43,0
WELL-01,2024-01-06,229.01,51.61,1348.39,96.22,0
WELL-01,2024-01-07,360.87,58.52,2367.57,82.71,0
WELL-01,2024-01-08,385.56,52.39,2527.05,94.64,0
WELL-01,2024-01-09,268.37,20.92,1273.32,64.79,0
WELL-01,2024-01-10,283.39,39.96,1361.6,81.89,0
WELL-01,2024-01-11,280.09,56.52,1535.21,98.88,0
WELL-01,2024-01-12,418.74,13.99,1473.82,82.77,0
WELL-01,2024-01-13,367.08,42.65,2224.0,110.57,0
WELL-01,2024-01-14,209.63,22.35,1566.48,76.06,0
WELL-01,2024-01-15,462.91,22.31,2708.66,99.33,0
WELL-01,2024-01-16,337.66,19.57,2663.28,74.8,0
WELL-01,2024-01-17,375.38,54.38,1620.39,83.96,0
WELL-01,2024-01-18,352.86,10.0,2796.06,62.83,0
WELL-01,2024-01-19,105.45,28.22,1322.35,63.81,1
WELL-01,2024-01-20,358.73,58.41,2793.79,111.65,0
WELL-01,2024-01-21,97.72,34.53,1411.89,76.01,1
WELL-01,2024-01-22,330.43,29.95,1378.48,117.23,0
WELL-01,2024-01-23,350.18,14.83,1621.42,114.76,0
WELL-01,2024-01-24,391.68,38.49,1677.51,69.17,0
WELL-01,2024-01-25,433.59,34.17,2063.01,60.03,0
WELL-01,2024-01-26,478.73,53.33,1231.16,109.9,0
WELL-01,2024-01-27,463.4,57.08,1292.68,65.14,0
WELL-01,2024-01-28,428.18,47.12,1310.74,67.7,0
WELL-01,2024-01-29,279.52,52.98,2079.69,85.39,0
WELL-01,2024-01-30,418.98,16.06,2062.87,78.7,0
WELL-02,2024-01-01,331.43,33.47,2239.8,67.26,0
WELL-02,2024-01-02,376.49,17.66,1740.94,73.21,0
WELL-02,2024-01-03,66.03,54.8,1325.86,111.58,1
WELL-02,2024-01-04,96.83,16.78,948.48,67.94,1
WELL-02,2024-01-05,341.8,48.15,2113.67,108.45,0
WELL-02,2024-01-06,329.32,28.3,1355.09,88.02,0
WELL-02,2024-01-07,495.25,10.41,2277.38,84.16,0
WELL-02,2024-01-08,274.6,15.46,2578.68,86.92,0
WELL-02,2024-01-09,274.94,55.78,1645.67,86.59,0
WELL-02,2024-01-10,215.18,59.96,2080.52,110.16,0
WELL-02,2024-01-11,454.61,14.15,2682.19,89.14,0
WELL-02,2024-01-12,217.59,25.84,1841.66,119.12,0
WELL-02,2024-01-13,336.5,28.27,2454.51,117.44,0
WELL-02,2024-01-14,415.52,13.51,2089.23,77.8,0
WELL-02,2024-01-15,362.66,46.14,2126.69,63.43,0
WELL-02,2024-01-16,455.82,13.66,2004.56,117.65,0
WELL-02,2024-01-17,91.65,42.14,898.39,74.11,1
WELL-02,2024-01-18,67.24,37.7,1574.68,97.16,1
WELL-02,2024-01-19,356.83,56.41,2133.88,72.26,0
WELL-02,2024-01-20,318.74,41.94,1581.9,78.0,0
WELL-02,2024-01-21,221.76,30.21,2402.98,119.91,0
WELL-02,2024-01-22,263.95,19.59,1317.22,116.0,0
WELL-02,2024-01-23,310.86,13.68,2606.83,110.02,0
WELL-02,2024-01-24,496.17,40.97,2178.68,60.47,0
WELL-02,2024-01-25,399.02,56.64,1679.01,68.06,0
WELL-02,2024-01-26,88.73,19.98,822.75,96.29,1
WELL-02,2024-01-27,390.27,19.52,1525.76,89.31,0
WELL-02,2024-01-28,227.69,28.3,2553.77,76.6,0
WELL-02,2024-01-29,94.6,19.41,1460.27,104.47,1
WELL-02,2024-01-30,202.9,9.14,1884.3,112.99,0
WELL-03,2024-01-01,450.38,37.04,2072.94,68.89,0
WELL-03,2024-01-02,112.93,48.79,1015.93,111.64,1
WELL-03,2024-01-03,274.86,10.65,1536.12,106.81,0
WELL-03,2024-01-04,386.2,13.5,1850.2,115.79,0
WELL-03,2024-01-05,443.23,53.48,2761.93,61.49,0
WELL-03,2024-01-06,479.24,49.12,1731.5,111.84,0
WELL-03,2024-01-07,436.21,10.95,1626.89,112.33,0
WELL-03,2024-01-08,444.98,30.32,1555.89,78.31,0
WELL-03,2024-01-09,207.1,15.62,1564.15,79.7,0
WELL-03,2024-01-10,283.74,40.28,2747.02,83.98,0
WELL-03,2024-01-11,481.77,11.34,2057.95,118.22,0
WELL-03,2024-01-12,279.64,10.96,2740.05,86.07,0
WELL-03,2024-01-13,381.86,33.13,1701.88,83.11,0
WELL-03,2024-01-14,412.64,5.09,1607.56,115.53,0
WELL-03,2024-01-15,422.59,41.88,2351.09,81.85,0
WELL-03,2024-01-16,73.11,22.27,1357.67,110.88,1
WELL-03,2024-01-17,292.79,27.46,1680.52,84.14,0
WELL-03,2024-01-18,326.13,56.72,1403.66,100.64,0
WELL-03,2024-01-19,290.28,35.14,2184.82,60.02,0
WELL-03,2024-01-20,374.0,41.01,1887.82,87.9,0
WELL-03,2024-01-21,341.96,54.56,1541.92,107.76,0
WELL-03,2024-01-22,354.64,39.81,1335.67,80.11,0
WELL-03,2024-01-23,401.84,17.36,2401.82,71.95,0
WELL-03,2024-01-24,83.26,51.74,955.05,64.37,1
WELL-03,2024-01-25,258.33,43.3,2207.62,89.66,0
WELL-03,2024-01-26,201.66,46.3,2249.69,106.2,0
WELL-03,2024-01-27,62.31,57.69,1128.14,91.08,1
WELL-03,2024-01-28,109.38,30.11,959.23,108.08,1
WELL-03,2024-01-29,378.64,57.25,2780.63,113.49,0
WELL-03,2024-01-30,351.43,50.68,2350.84,92.87,0
WELL-04,2024-01-01,342.4,19.26,2389.85,74.83,0
WELL-04,2024-01-02,356.39,39.47,2425.3,76.48,0
WELL-04,2024-01-03,69.02,22.58,994.3,92.41,1
WELL-04,2024-01-04,98.58,43.85,942.01,63.85,1
WELL-04,2024-01-05,324.73,16.38,2068.18,85.21,0
WELL-04,2024-01-06,408.66,52.12,2134.53,105.94,0
WELL-04,2024-01-07,305.53,46.44,1209.43,111.21,0
WELL-04,2024-01-08,424.25,35.04,1870.43,96.2,0
WELL-04,2024-01-09,330.75,6.6,1551.07,80.17,0
WELL-04,2024-01-10,249.51,30.71,1846.91,67.66,0
WELL-04,2024-01-11,318.21,36.04,1243.15,61.63,0
WELL-04,2024-01-12,338.51,7.77,1417.12,82.75,0
WELL-04,2024-01-13,428.37,25.85,1722.95,105.12,0
WELL-04,2024-01-14,224.57,6.07,1603.63,92.37,0
WELL-04,2024-01-15,395.04,47.97,1759.94,99.11,0
WELL-04,2024-01-16,259.81,6.12,2719.38,69.14,0
WELL-04,2024-01-17,89.48,16.99,1362.68,101.97,1
WELL-04,2024-01-18,382.17,46.14,1468.46,66.87,0
WELL-04,2024-01-19,232.43,6.41,2743.55,78.72,0
WELL-04,2024-01-20,319.0,44.33,2733.08,64.56,0
WELL-04,2024-01-21,230.57,47.49,2203.59,111.02,0
WELL-04,2024-01-22,495.15,48.04,1393.69,80.83,0
WELL-04,2024-01-23,351.79,23.77,1792.91,110.97,0
WELL-04,2024-01-24,488.24,39.96,1368.86,109.72,0
WELL-04,2024-01-25,420.14,58.1,1896.78,76.2,0
WELL-04,2024-01-26,345.05,28.96,2061.08,103.86,0
WELL-04,2024-01-27,449.22,9.77,2562.74,112.9,0
WELL-04,2024-01-28,383.1,25.84,1943.53,61.72,0
WELL-04,2024-01-29,263.64,48.88,1490.94,80.42,0
WELL-04,2024-01-30,282.88,5.56,2321.89,116.88,0
WELL-05,2024-01-01,84.2,46.7,1411.27,101.44,1
WELL-05,2024-01-02,437.88,10.12,1985.31,73.3,0
WELL-05,2024-01-03,374.47,31.03,1689.93,91.86,0
WELL-05,2024-01-04,299.24,43.66,2393.5,76.25,0
WELL-05,2024-01-05,257.78,11.58,1393.05,92.15,0
WELL-05,2024-01-06,264.92,31.63,1496.24,103.48,0
WELL-05,2024-01-07,284.9,10.53,2039.42,71.65,0
WELL-05,2024-01-08,204.24,34.38,1487.11,76.46,0
WELL-05,2024-01-09,409.23,11.95,2085.37,112.11,0
WELL-05,2024-01-10,372.22,30.82,2596.35,86.43,0
WELL-05,2024-01-11,482.32,31.28,1282.2,109.33,0
WELL-05,2024-01-12,388.83,7.95,1318.53,68.95,0
WELL-05,2024-01-13,498.18,11.51,1686.14,105.87,0
WELL-05,2024-01-14,267.71,33.74,2465.19,87.03,0
WELL-05,2024-01-15,497.01,21.8,2576.27,97.26,0
WELL-05,2024-01-16,484.28,16.43,2384.14,72.66,0
WELL-05,2024-01-17,252.14,9.13,1451.29,60.16,0
WELL-05,2024-01-18,287.38,17.73,2150.1,102.42,0
WELL-05,2024-01-19,406.22,55.82,1926.45,107.27,0
WELL-05,2024-01-20,480.1,28.38,2257.89,92.67,0
WELL-05,2024-01-21,447.99,8.93,2653.46,69.96,0
WELL-05,2024-01-22,370.76,20.87,2398.33,67.46,0
WELL-05,2024-01-23,482.8,32.53,2319.57,89.63,0
WELL-05,2024-01-24,80.24,22.73,758.27,75.02,1
WELL-05,2024-01-25,108.52,36.64,1643.43,117.05,1
WELL-05,2024-01-26,280.85,7.21,2275.65,105.38,0
WELL-05,2024-01-27,474.82,14.98,2242.42,95.12,0
WELL-05,2024-01-28,227.37,24.14,1986.76,80.0,0
WELL-05,2024-01-29,298.94,43.15,2572.37,77.29,0
WELL-05,2024-01-30,365.03,30.02,2501.71,78.87,0
